tid,title,url,imdbRating,duration,year,nrOfWins,nrOfNominations
tt0012349,Der Vagabund und das Kind (1921),http://www.imdb.com/title/tt0012349/,8.4,3240,1921,1,0
tt0015864,Goldrausch (1925),http://www.imdb.com/title/tt0015864/,8.3,5700,1925,2,1
tt0017136,Metropolis (1927),http://www.imdb.com/title/tt0017136/,8.4,9180,1927,3,4
tt0017925,Der General (1926),http://www.imdb.com/title/tt0017925/,8.3,6420,1926,1,1
tt0021749,Lichter der Großstadt (1931),http://www.imdb.com/title/tt0021749/,8.7,5220,1931,2,0
tt0022100,M (1931),http://www.imdb.com/title/tt0022100/,8.5,7020,1931,1,0
tt0025316,Es geschah in einer Nacht (1934),http://www.imdb.com/title/tt0025316/,8.3,6300,1934,4,1
tt0027977,Moderne Zeiten (1936),http://www.imdb.com/title/tt0027977/,8.6,5220,1936,3,1
tt0031381,Vom Winde verweht (1939),http://www.imdb.com/title/tt0031381/,8.2,14280,1939,10,6
tt0031679,Mr. Smith geht nach Washington (1939),http://www.imdb.com/title/tt0031679/,8.4,7740,1939,4,10
tt0032138,Der Zauberer von Oz (1939),http://www.imdb.com/title/tt0032138/,8.1,6120,1939,6,12
tt0032551,Früchte des Zorns (1940),http://www.imdb.com/title/tt0032551/,8.2,7740,1940,6,5
tt0032553,Der große Diktator (1940),http://www.imdb.com/title/tt0032553/,8.5,7500,1940,5,1
tt0032976,Rebecca (1940),http://www.imdb.com/title/tt0032976/,8.3,7800,1940,2,9
tt0033467,Citizen Kane (1941),http://www.imdb.com/title/tt0033467/,8.5,7140,1941,7,10
tt0033870,Die Spur des Falken (1941),http://www.imdb.com/title/tt0033870/,8.2,6000,1941,1,0
tt0034583,Casablanca (1942),http://www.imdb.com/title/tt0034583/,8.6,6120,1942,5,6
tt0036775,Frau ohne Gewissen (1944),http://www.imdb.com/title/tt0036775/,8.5,6420,1944,3,0
tt0036868,Die besten Jahre unseres Lebens (1946),http://www.imdb.com/title/tt0036868/,8.3,10320,1946,13,1
tt0038355,Tote schlafen fest (1946),http://www.imdb.com/title/tt0038355/,8.1,6840,1946,1,0
tt0038650,It's a Wonderful Life (1946),http://www.imdb.com/title/tt0038650/,8.7,7800,1946,6,0
tt0038787,Berüchtigt (1946),http://www.imdb.com/title/tt0038787/,8.2,6060,1946,2,1
tt0040522,Fahrraddiebe (1948),http://www.imdb.com/title/tt0040522/,8.4,5280,1948,17,0
tt0040746,Cocktail für eine Leiche (1948),http://www.imdb.com/title/tt0040746/,8.1,4800,1948,0,0
tt0040897,Der Schatz der Sierra Madre (1948),http://www.imdb.com/title/tt0040897/,8.4,7560,1948,12,4
tt0041959,Der dritte Mann (1949),http://www.imdb.com/title/tt0041959/,8.4,6240,1949,3,4
tt0042192,Alles über Eva (1950),http://www.imdb.com/title/tt0042192/,8.4,8280,1950,15,15
tt0042876,Rashomon (1950),http://www.imdb.com/title/tt0042876/,8.4,5280,1950,9,2
tt0043014,Boulevard der Dämmerung (1950),http://www.imdb.com/title/tt0043014/,8.6,6600,1950,17,13
tt0044079,Der Fremde im Zug (1951),http://www.imdb.com/title/tt0044079/,8.1,5520,1951,1,1
tt0044706,Zwölf Uhr mittags (1952),http://www.imdb.com/title/tt0044706/,8.2,5100,1952,12,10
tt0044741,Ikiru - Einmal richtig leben (1952),http://www.imdb.com/title/tt0044741/,8.4,8580,1952,5,0
tt0045152,Du sollst mein Glücksstern sein (1952),http://www.imdb.com/title/tt0045152/,8.4,6180,1952,4,7
tt0046250,Ein Herz und eine Krone (1953),http://www.imdb.com/title/tt0046250/,8.1,7080,1953,7,14
tt0046359,Stalag 17 (1953),http://www.imdb.com/title/tt0046359/,8.1,6960,1953,1,4
tt0046911,Die Teuflischen (1955),http://www.imdb.com/title/tt0046911/,8.3,6840,1955,4,0
tt0046912,Bei Anruf Mord (1954),http://www.imdb.com/title/tt0046912/,8.2,6300,1954,3,2
tt0047296,Die Faust im Nacken (1954),http://www.imdb.com/title/tt0047296/,8.3,6480,1954,21,7
tt0047396,Das Fenster zum Hof (1954),http://www.imdb.com/title/tt0047396/,8.6,6720,1954,6,6
tt0047478,Die sieben Samurai (1954),http://www.imdb.com/title/tt0047478/,8.8,12420,1954,4,5
tt0047528,Das Lied der Straße (1954),http://www.imdb.com/title/tt0047528/,8.2,6480,1954,10,4
tt0048424,Die Nacht des Jägers (1955),http://www.imdb.com/title/tt0048424/,8.1,5580,1955,1,0
tt0049406,Killing (1956),http://www.imdb.com/title/tt0049406/,8.1,5100,1956,0,0
tt0050083,Die zwölf Geschworenen (1957),http://www.imdb.com/title/tt0050083/,8.9,5760,1957,16,6
tt0050212,Die Brücke am Kwai (1957),http://www.imdb.com/title/tt0050212/,8.3,9660,1957,24,5
tt0050825,Wege zum Ruhm (1957),http://www.imdb.com/title/tt0050825/,8.5,5280,1957,3,2
tt0050976,Das siebente Siegel (1957),http://www.imdb.com/title/tt0050976/,8.3,5760,1957,7,1
tt0050986,Wilde Erdbeeren (1957),http://www.imdb.com/title/tt0050986/,8.3,5460,1957,12,2
tt0051201,Zeugin der Anklage (1957),http://www.imdb.com/title/tt0051201/,8.5,6960,1957,3,8
tt0052311,Im Zeichen des Bösen (1958),http://www.imdb.com/title/tt0052311/,8.2,5700,1958,3,1
tt0052357,Vertigo - Aus dem Reich der Toten (1958),http://www.imdb.com/title/tt0052357/,8.5,7680,1958,6,3
tt0052618,Ben Hur (1959),http://www.imdb.com/title/tt0052618/,8.2,12720,1959,20,5
tt0053125,Der unsichtbare Dritte (1959),http://www.imdb.com/title/tt0053125/,8.5,8160,1959,7,4
tt0053198,Sie küßten und sie schlugen ihn (1959),http://www.imdb.com/title/tt0053198/,8.2,5940,1959,6,3
tt0053291,Manche mögen's heiß (1959),http://www.imdb.com/title/tt0053291/,8.4,7200,1959,12,8
tt0053604,Das Appartement (1960),http://www.imdb.com/title/tt0053604/,8.4,7500,1960,18,8
tt0053779,Das süße Leben (1960),http://www.imdb.com/title/tt0053779/,8.1,10440,1960,8,12
tt0054215,Psycho (1960),http://www.imdb.com/title/tt0054215/,8.6,6540,1960,6,5
tt0054997,Haie der Großstadt (1961),http://www.imdb.com/title/tt0054997/,8.1,8040,1961,15,14
tt0055031,Das Urteil von Nürnberg (1961),http://www.imdb.com/title/tt0055031/,8.3,11160,1961,17,21
tt0055630,Die Leibwache (1961),http://www.imdb.com/title/tt0055630/,8.4,6600,1961,4,1
tt0056172,Lawrence von Arabien (1962),http://www.imdb.com/title/tt0056172/,8.4,12960,1962,20,13
tt0056592,Wer die Nachtigall stört (1962),http://www.imdb.com/title/tt0056592/,8.4,7740,1962,12,12
tt0056801,Achteinhalb (1963),http://www.imdb.com/title/tt0056801/,8.2,8280,1963,14,8
tt0057012,Dr. Seltsam\, die Bombe zu lieben (1964),dr seltsam oder wie ich lernte die bombe zu lieben,8.6,263157,1964,video.movie
tt0057115,Gesprengte Ketten (1963),http://www.imdb.com/title/tt0057115/,8.3,10320,1963,4,4
tt0058461,Für eine Handvoll Dollar (1964),http://www.imdb.com/title/tt0058461/,8.1,5940,1964,1,1
tt0058946,Schlacht um Algier (1966),http://www.imdb.com/title/tt0058946/,8.2,7260,1966,9,3
tt0059578,Für ein paar Dollar mehr (1965),http://www.imdb.com/title/tt0059578/,8.4,7920,1965,0,0
tt0060196,Zwei glorreiche Halunken (1966),http://www.imdb.com/title/tt0060196/,9,9660,1966,1,0
tt0060827,Persona (1966),http://www.imdb.com/title/tt0060827/,8.2,5100,1966,8,1
tt0061184,Wer hat Angst vor Virginia Woolf? (1966),http://www.imdb.com/title/tt0061184/,8.2,7860,1966,20,18
tt0061512,Der Unbeugsame (1967),http://www.imdb.com/title/tt0061512/,8.2,7560,1967,5,6
tt0061722,Die Reifeprüfung (1967),http://www.imdb.com/title/tt0061722/,8.1,6360,1967,20,13
tt0062622,2001: Odyssee im Weltraum (1968),http://www.imdb.com/title/tt0062622/,8.3,9600,1968,12,6
tt0064115,Butch Cassidy und Sundance Kid (1969),http://www.imdb.com/title/tt0064115/,8.2,6600,1969,18,12
tt0064116,Spiel mir das Lied vom Tod (1968),http://www.imdb.com/title/tt0064116/,8.7,10500,1968,5,4
tt0066921,Uhrwerk Orange (1971),http://www.imdb.com/title/tt0066921/,8.4,8160,1971,11,13
tt0068646,Der Pate (1972),http://www.imdb.com/title/tt0068646/,9.2,10500,1972,29,19
tt0070735,Der Clou (1973),http://www.imdb.com/title/tt0070735/,8.4,7740,1973,10,6
tt0071315,Chinatown (1974),http://www.imdb.com/title/tt0071315/,8.3,7800,1974,20,22
tt0071562,Der Pate 2 (1974),http://www.imdb.com/title/tt0071562/,9.1,12000,1974,11,16
tt0071853,Die Ritter der Kokosnuß (1975),http://www.imdb.com/title/tt0071853/,8.4,5460,1975,0,0
tt0072684,Barry Lyndon (1975),http://www.imdb.com/title/tt0072684/,8.1,11040,1975,15,11
tt0072890,Hundstage (1975),http://www.imdb.com/title/tt0072890/,8.1,7500,1975,13,17
tt0073195,Der weiße Hai (1975),http://www.imdb.com/title/tt0073195/,8.1,7440,1975,9,14
tt0073486,Einer flog über das Kuckucksnest (1975),http://www.imdb.com/title/tt0073486/,8.8,7980,1975,30,12
tt0074958,Network (1976),http://www.imdb.com/title/tt0074958/,8.2,7260,1976,22,19
tt0075148,Rocky (1976),http://www.imdb.com/title/tt0075148/,8.1,7140,1976,17,20
tt0075314,Taxi Driver (1976),http://www.imdb.com/title/tt0075314/,8.4,6780,1976,26,9
tt0075686,Der Stadtneurotiker (1977),http://www.imdb.com/title/tt0075686/,8.2,5580,1977,26,7
tt0076759,Krieg der Sterne (1977),http://www.imdb.com/title/tt0076759/,8.7,7260,1977,35,26
tt0077416,Die durch die Hölle gehen (1978),http://www.imdb.com/title/tt0077416/,8.2,10920,1978,21,17
tt0078748,Alien - Das unheimliche Wesen aus einer fremden Welt (1979),http://www.imdb.com/title/tt0078748/,8.5,7020,1979,12,18
tt0078788,Apocalypse Now (1979),http://www.imdb.com/title/tt0078788/,8.5,9180,1979,17,30
tt0079470,Das Leben des Brian (1979),http://www.imdb.com/title/tt0079470/,8.2,5640,1979,0,0
tt0079944,Stalker (1979),http://www.imdb.com/title/tt0079944/,8.2,9780,1979,2,1
tt0080678,Der Elefantenmensch (1980),http://www.imdb.com/title/tt0080678/,8.3,7440,1980,10,13
tt0080684,Das Imperium schlägt zurück (1980),http://www.imdb.com/title/tt0080684/,8.8,7440,1980,12,16
tt0081398,Wie ein wilder Stier (1980),http://www.imdb.com/title/tt0081398/,8.3,7740,1980,26,19
tt0081505,Shining (1980),http://www.imdb.com/title/tt0081505/,8.5,8640,1980,2,5
tt0082096,Das Boot (1981),http://www.imdb.com/title/tt0082096/,8.5,8940,1981,13,5
tt0082971,Jäger des verlorenen Schatzes (1981),http://www.imdb.com/title/tt0082971/,8.6,6900,1981,25,22
tt0083658,Der Blade Runner (1982),http://www.imdb.com/title/tt0083658/,8.3,7020,1982,10,15
tt0083922,Fanny und Alexander (1982),http://www.imdb.com/title/tt0083922/,8.2,11280,1982,20,7
tt0083987,Gandhi (1982),http://www.imdb.com/title/tt0083987/,8.1,11460,1982,30,16
tt0084787,Das Ding aus einer anderen Welt (1982),http://www.imdb.com/title/tt0084787/,8.2,6540,1982,0,0
tt0085334,Fröhliche Weihnachten (1983),http://www.imdb.com/title/tt0085334/,8.1,5640,1983,3,11
tt0086190,Die Rückkehr der Jedi-Ritter (1983),http://www.imdb.com/title/tt0086190/,8.4,8040,1983,12,14
tt0086250,Scarface - Toni\,scarface toni das narbengesicht,http://www.imdb.com/title/tt0086250/,379114,10200,video.movie,0
tt0086879,Amadeus (1984),http://www.imdb.com/title/tt0086879/,8.4,9600,1984,33,13
tt0087544,Nausicaä - Prinzessin aus dem Tal der Winde (1984),http://www.imdb.com/title/tt0087544/,8.2,7020,1984,3,0
tt0087843,Es war einmal in Amerika (1984),http://www.imdb.com/title/tt0087843/,8.4,13740,1984,13,4
tt0088247,Terminator (1984),http://www.imdb.com/title/tt0088247/,8.1,6420,1984,5,6
tt0088763,Zurück in die Zukunft (1985),http://www.imdb.com/title/tt0088763/,8.5,6960,1985,13,24
tt0089881,Ran (1985),http://www.imdb.com/title/tt0089881/,8.3,9720,1985,28,18
tt0090605,Aliens - Die Rückkehr (1986),http://www.imdb.com/title/tt0090605/,8.5,8220,1986,16,21
tt0091763,Platoon (1986),http://www.imdb.com/title/tt0091763/,8.2,7200,1986,22,10
tt0092005,Stand by Me - Das Geheimnis eines Sommers (1986),http://www.imdb.com/title/tt0092005/,8.2,5340,1986,3,10
tt0092067,Das Schloss im Himmel (1986),http://www.imdb.com/title/tt0092067/,8.1,7440,1986,1,0
tt0093058,Full Metal Jacket (1987),http://www.imdb.com/title/tt0093058/,8.4,6960,1987,7,7
tt0093779,Die Braut des Prinzen (1987),http://www.imdb.com/title/tt0093779/,8.2,5880,1987,5,8
tt0095016,Stirb langsam (1988),http://www.imdb.com/title/tt0095016/,8.3,7860,1988,6,2
tt0095327,Die letzten Leuchtkäfer (1988),http://www.imdb.com/title/tt0095327/,8.5,5340,1988,3,0
tt0095765,Cinema Paradiso (1988),http://www.imdb.com/title/tt0095765/,8.5,9300,1988,19,22
tt0096283,Mein Nachbar Totoro (1988),http://www.imdb.com/title/tt0096283/,8.3,5160,1988,5,1
tt0097576,Indiana Jones und der letzte Kreuzzug (1989),http://www.imdb.com/title/tt0097576/,8.3,7620,1989,4,19
tt0099685,GoodFellas - Drei Jahrzehnte in der Mafia (1990),http://www.imdb.com/title/tt0099685/,8.8,8760,1990,40,23
tt0101414,Die Schöne und das Biest (1991),http://www.imdb.com/title/tt0101414/,8.1,5040,1991,21,19
tt0102926,Das Schweigen der Lämmer (1991),http://www.imdb.com/title/tt0102926/,8.6,7080,1991,44,30
tt0103064,Terminator 2 - Tag der Abrechnung (1991),http://www.imdb.com/title/tt0103064/,8.5,8220,1991,20,19
tt0105236,Reservoir Dogs - Wilde Hunde (1992),http://www.imdb.com/title/tt0105236/,8.4,5940,1992,11,9
tt0105695,Erbarmungslos (1992),http://www.imdb.com/title/tt0105695/,8.3,7860,1992,40,20
tt0107048,...und täglich grüßt das Murmeltier (1993),http://www.imdb.com/title/tt0107048/,8.1,6060,1993,6,7
tt0107207,Im Namen des Vaters (1993),http://www.imdb.com/title/tt0107207/,8.2,7980,1993,9,15
tt0108052,Schindlers Liste (1993),http://www.imdb.com/title/tt0108052/,8.9,11700,1993,70,25
tt0109830,Forrest Gump (1994),http://www.imdb.com/title/tt0109830/,8.8,8520,1994,38,46
tt0110357,Der König der Löwen (1994),http://www.imdb.com/title/tt0110357/,8.5,5340,1994,25,22
tt0110413,Léon - Der Profi (1994),http://www.imdb.com/title/tt0110413/,8.6,6600,1994,3,8
tt0110912,Pulp Fiction (1994),http://www.imdb.com/title/tt0110912/,9,9240,1994,62,46
tt0111161,Die Verurteilten (1994),http://www.imdb.com/title/tt0111161/,9.3,8520,1994,15,15
tt0111495,Drei Farben - Rot (1994),http://www.imdb.com/title/tt0111495/,8.1,5940,1994,18,15
tt0112471,Before Sunrise - Zwischenstopp in Wien (1995),http://www.imdb.com/title/tt0112471/,8.1,6300,1995,1,2
tt0112573,Braveheart (1995),http://www.imdb.com/title/tt0112573/,8.4,10620,1995,19,20
tt0112641,Casino (1995),http://www.imdb.com/title/tt0112641/,8.2,10680,1995,3,7
tt0113247,Hass (1995),http://www.imdb.com/title/tt0113247/,8.1,5880,1995,8,12
tt0113277,Heat (1995),http://www.imdb.com/title/tt0113277/,8.3,10200,1995,0,0
tt0114369,Sieben (1995),http://www.imdb.com/title/tt0114369/,8.7,7620,1995,25,18
tt0114709,Toy Story (1995),http://www.imdb.com/title/tt0114709/,8.3,4860,1995,19,13
tt0114746,12 Monkeys (1995),http://www.imdb.com/title/tt0114746/,8.1,7740,1995,10,8
tt0114787,Underground (1995),http://www.imdb.com/title/tt0114787/,8.2,10200,1995,6,6
tt0114814,Die üblichen Verdächtigen (1995),http://www.imdb.com/title/tt0114814/,8.7,6360,1995,29,7
tt0116282,Fargo - Blutiger Schnee (1996),http://www.imdb.com/title/tt0116282/,8.2,5880,1996,60,32
tt0117951,Trainspotting - Neue Helden (1996),http://www.imdb.com/title/tt0117951/,8.2,5640,1996,19,15
tt0118694,In the Mood for Love - Der Klang der Liebe (2000),http://www.imdb.com/title/tt0118694/,8.1,5880,2000,35,27
tt0118715,The Big Lebowski (1998),http://www.imdb.com/title/tt0118715/,8.2,7020,1998,1,9
tt0118799,Das Leben ist schön (1997),http://www.imdb.com/title/tt0118799/,8.6,6960,1997,56,31
tt0119217,Good Will Hunting - Der gute Will Hunting (1997),http://www.imdb.com/title/tt0119217/,8.2,7560,1997,18,37
tt0119488,L.A. Confidential (1997),http://www.imdb.com/title/tt0119488/,8.3,8280,1997,78,48
tt0119698,Prinzessin Mononoke (1997),http://www.imdb.com/title/tt0119698/,8.5,8040,1997,11,5
tt0120382,Die Truman Show (1998),http://www.imdb.com/title/tt0120382/,8,6180,1998,32,37
tt0120586,American History X (1998),http://www.imdb.com/title/tt0120586/,8.6,7140,1998,3,9
tt0120689,The Green Mile (1999),http://www.imdb.com/title/tt0120689/,8.5,11340,1999,15,23
tt0120735,Bube Dame König grAS (1998),http://www.imdb.com/title/tt0120735/,8.2,6420,1998,13,7
tt0120737,Der Herr der Ringe - Die Gefährten (2001),http://www.imdb.com/title/tt0120737/,8.9,10680,2001,82,90
tt0120815,Der Soldat James Ryan (1998),http://www.imdb.com/title/tt0120815/,8.6,10140,1998,58,56
tt0133093,Matrix (1999),http://www.imdb.com/title/tt0133093/,8.7,8160,1999,29,36
tt0137523,Fight Club (1999),http://www.imdb.com/title/tt0137523/,8.9,8340,1999,5,13
tt0154420,Das Fest (1998),http://www.imdb.com/title/tt0154420/,8.2,6300,1998,28,16
tt0167260,Der Herr der Ringe - Die Rückkehr des Königs (2003),http://www.imdb.com/title/tt0167260/,8.9,12060,2003,122,74
tt0167261,Der Herr der Ringe - Die zwei Türme (2002),http://www.imdb.com/title/tt0167261/,8.8,10740,2002,76,83
tt0167404,Sixth Sense (1999),http://www.imdb.com/title/tt0167404/,8.2,6420,1999,32,37
tt0169102,Lagaan: Once Upon a Time in India (2001),http://www.imdb.com/title/tt0169102/,8.3,13440,2001,44,19
tt0169547,American Beauty (1999),http://www.imdb.com/title/tt0169547/,8.5,7320,1999,91,74
tt0172495,Gladiator (2000),http://www.imdb.com/title/tt0172495/,8.5,9300,2000,51,80
tt0180093,Requiem for a Dream (2000),http://www.imdb.com/title/tt0180093/,8.4,6120,2000,27,36
tt0198781,Die Monster AG (2001),http://www.imdb.com/title/tt0198781/,8.1,5520,2001,14,31
tt0208092,Snatch - Schweine und Diamanten (2000),http://www.imdb.com/title/tt0208092/,8.4,6240,2000,4,5
tt0209144,Memento (2000),http://www.imdb.com/title/tt0209144/,8.6,6780,2000,47,34
