genre,id
Comedy,tt0012349
Drama,tt0012349
Family,tt0012349
Adventure,tt0015864
Comedy,tt0015864
Family,tt0015864
Drama,tt0017136
SciFi,tt0017136
Action,tt0017925
Adventure,tt0017925
Comedy,tt0017925
Comedy,tt0021749
Drama,tt0021749
Romance,tt0021749
Crime,tt0022100
Drama,tt0022100
Thriller,tt0022100
Comedy,tt0025316
Romance,tt0025316
Comedy,tt0027977
Drama,tt0027977
Drama,tt0031381
Romance,tt0031381
War,tt0031381
Drama,tt0031679
Adventure,tt0032138
Family,tt0032138
Fantasy,tt0032138
Drama,tt0032551
Comedy,tt0032553
Drama,tt0032553
War,tt0032553
Drama,tt0032976
Mystery,tt0032976
Thriller,tt0032976
Drama,tt0033467
Mystery,tt0033467
Crime,tt0033870
Drama,tt0033870
FilmNoir,tt0033870
Drama,tt0034583
Romance,tt0034583
War,tt0034583
Crime,tt0036775
Drama,tt0036775
FilmNoir,tt0036775
Drama,tt0036868
Romance,tt0036868
War,tt0036868
Crime,tt0038355
FilmNoir,tt0038355
Mystery,tt0038355
Drama,tt0038650
Family,tt0038650
Fantasy,tt0038650
Drama,tt0038787
FilmNoir,tt0038787
Romance,tt0038787
Drama,tt0040522
Crime,tt0040746
Drama,tt0040746
Thriller,tt0040746
Action,tt0040897
Adventure,tt0040897
Drama,tt0040897
FilmNoir,tt0041959
Mystery,tt0041959
Thriller,tt0041959
Drama,tt0042192
Crime,tt0042876
Drama,tt0042876
Drama,tt0043014
FilmNoir,tt0043014
Crime,tt0044079
FilmNoir,tt0044079
Thriller,tt0044079
Drama,tt0044706
Western,tt0044706
Drama,tt0044741
Comedy,tt0045152
Musical,tt0045152
Romance,tt0045152
Comedy,tt0046250
Drama,tt0046250
Romance,tt0046250
Comedy,tt0046359
Drama,tt0046359
War,tt0046359
Horror,tt0046911
Mystery,tt0046911
Thriller,tt0046911
Crime,tt0046912
Thriller,tt0046912
Crime,tt0047296
Drama,tt0047296
Mystery,tt0047396
Thriller,tt0047396
Action,tt0047478
Drama,tt0047478
Drama,tt0047528
Crime,tt0048424
FilmNoir,tt0048424
Thriller,tt0048424
Crime,tt0049406
FilmNoir,tt0049406
Thriller,tt0049406
Drama,tt0050083
Adventure,tt0050212
Drama,tt0050212
War,tt0050212
Drama,tt0050825
War,tt0050825
Drama,tt0050976
Fantasy,tt0050976
Drama,tt0050986
Crime,tt0051201
Drama,tt0051201
Mystery,tt0051201
Crime,tt0052311
FilmNoir,tt0052311
Thriller,tt0052311
Mystery,tt0052357
Romance,tt0052357
Thriller,tt0052357
Adventure,tt0052618
Drama,tt0052618
Action,tt0053125
Adventure,tt0053125
Mystery,tt0053125
Crime,tt0053198
Drama,tt0053198
Comedy,tt0053291
Comedy,tt0053604
Drama,tt0053604
Romance,tt0053604
Comedy,tt0053779
Drama,tt0053779
Horror,tt0054215
Mystery,tt0054215
Thriller,tt0054215
Drama,tt0054997
Sport,tt0054997
Drama,tt0055031
History,tt0055031
War,tt0055031
Action,tt0055630
Adventure,tt0055630
Adventure,tt0056172
Biography,tt0056172
Drama,tt0056172
Crime,tt0056592
Drama,tt0056592
Mystery,tt0056592
Drama,tt0056801
Fantasy,tt0056801
Documentary,tt0057012
Adventure,tt0057115
Drama,tt0057115
History,tt0057115
Western,tt0058461
Crime,tt0058946
Drama,tt0058946
History,tt0058946
Western,tt0059578
Adventure,tt0060196
Western,tt0060196
Drama,tt0060827
Drama,tt0061184
Crime,tt0061512
Drama,tt0061512
Comedy,tt0061722
Drama,tt0061722
Romance,tt0061722
Adventure,tt0062622
Mystery,tt0062622
SciFi,tt0062622
Adventure,tt0064115
Biography,tt0064115
Crime,tt0064115
Western,tt0064116
Crime,tt0066921
Drama,tt0066921
SciFi,tt0066921
Crime,tt0068646
Drama,tt0068646
Comedy,tt0070735
Crime,tt0070735
Drama,tt0070735
Drama,tt0071315
Mystery,tt0071315
Thriller,tt0071315
Crime,tt0071562
Drama,tt0071562
Adventure,tt0071853
Comedy,tt0071853
Fantasy,tt0071853
Drama,tt0072684
Crime,tt0072890
Drama,tt0072890
Adventure,tt0073195
Horror,tt0073195
Thriller,tt0073195
Drama,tt0073486
Drama,tt0074958
Drama,tt0075148
Sport,tt0075148
Crime,tt0075314
Drama,tt0075314
Comedy,tt0075686
Romance,tt0075686
Action,tt0076759
Adventure,tt0076759
Fantasy,tt0076759
Drama,tt0077416
War,tt0077416
Horror,tt0078748
SciFi,tt0078748
Drama,tt0078788
War,tt0078788
Comedy,tt0079470
Drama,tt0079944
SciFi,tt0079944
Biography,tt0080678
Drama,tt0080678
Action,tt0080684
Adventure,tt0080684
SciFi,tt0080684
Biography,tt0081398
Drama,tt0081398
Sport,tt0081398
Horror,tt0081505
Action,tt0082096
Adventure,tt0082096
Drama,tt0082096
Action,tt0082971
Adventure,tt0082971
Drama,tt0083658
SciFi,tt0083658
Thriller,tt0083658
Drama,tt0083922
Biography,tt0083987
Drama,tt0083987
History,tt0083987
Horror,tt0084787
Mystery,tt0084787
SciFi,tt0084787
Comedy,tt0085334
Family,tt0085334
Action,tt0086190
Adventure,tt0086190
Fantasy,tt0086190
Documentary,tt0086250
Family,tt0086250
Biography,tt0086879
Drama,tt0086879
Music,tt0086879
Action,tt0087544
Adventure,tt0087544
Animation,tt0087544
Crime,tt0087843
Drama,tt0087843
Action,tt0088247
SciFi,tt0088247
Adventure,tt0088763
Comedy,tt0088763
SciFi,tt0088763
Action,tt0089881
Drama,tt0089881
War,tt0089881
Action,tt0090605
Adventure,tt0090605
SciFi,tt0090605
Action,tt0091763
Drama,tt0091763
War,tt0091763
Adventure,tt0092005
Drama,tt0092005
Action,tt0092067
Adventure,tt0092067
Animation,tt0092067
Drama,tt0093058
War,tt0093058
Adventure,tt0093779
Comedy,tt0093779
Family,tt0093779
Action,tt0095016
Thriller,tt0095016
Animation,tt0095327
Drama,tt0095327
War,tt0095327
Drama,tt0095765
Animation,tt0096283
Family,tt0096283
Fantasy,tt0096283
Action,tt0097576
Adventure,tt0097576
Biography,tt0099685
Crime,tt0099685
Drama,tt0099685
Animation,tt0101414
Family,tt0101414
Fantasy,tt0101414
Crime,tt0102926
Drama,tt0102926
Thriller,tt0102926
Action,tt0103064
SciFi,tt0103064
Thriller,tt0103064
Crime,tt0105236
Thriller,tt0105236
Western,tt0105695
