imdbId,movieId,tmdbId
tt0114709,1,862
tt0113497,2,8844
tt0113228,3,15602
tt0114885,4,31357
tt0113041,5,11862
tt0113277,6,949
tt0114319,7,11860
tt0112302,8,45325
tt0114576,9,9091
tt0113189,10,710
tt0112346,11,9087
tt0112896,12,12110
tt0112453,13,21032
tt0113987,14,10858
tt0112760,15,1408
tt0112641,16,524
tt0114388,17,4584
tt0113101,18,5
tt0112281,19,9273
tt0113845,20,11517
tt0113161,21,8012
tt0112722,22,1710
tt0112401,23,9691
tt0114168,24,12665
tt0113627,25,451
tt0114057,26,16420
tt0114011,27,9263
tt0114117,28,17015
tt0112682,29,902
tt0115012,30,37557
tt0112792,31,9909
tt0114746,32,63
tt0112431,34,9598
tt0112818,36,687
tt0113442,38,33689
tt0112697,39,9603
tt0112749,40,34615
tt0114279,41,31174
tt0112819,42,11443
tt0114272,43,35196
tt0113855,44,9312
tt0114681,45,577
tt0113347,46,11861
tt0114369,47,807
tt0114148,48,10530
tt0114916,49,8391
tt0114814,50,629
tt0113819,52,11448
tt0110299,53,49133
tt0112499,54,26441
tt0113158,55,97406
tt0113321,57,9089
tt0110877,58,11010
tt0113419,60,11359
tt0116260,61,17182
tt0113862,62,2054
tt0116126,63,10607
tt0118002,64,19760
tt0115683,65,9536
tt0116839,66,11525
tt0113149,68,4482
tt0113118,69,10634
tt0116367,70,755
tt0113010,71,11859
tt0113537,72,28387
tt0113828,73,48750
tt0115644,74,20927
tt0115676,75,36929
tt0114367,76,9102
tt0113973,77,124626
tt0112744,78,27526
tt0116731,79,9623
tt0112445,80,46785
tt0114660,81,400
tt0112379,82,880
tt0114039,83,146599
tt0112365,85,8447
tt0118158,86,10534
tt0116151,87,17414
tt0115697,88,13997
tt0113972,89,2086
tt0117002,92,9095
tt0114825,93,12158
tt0115639,94,9283
tt0115759,95,9208
tt0113403,96,40154
tt0113247,97,406
tt0113283,99,63076
tt0115907,100,11062
tt0115734,101,13685
tt0117102,102,47475
tt0118040,103,2045
tt0116483,104,9614
tt0112579,105,688
tt0110251,106,11907
tt0117110,107,10874
tt0112646,108,89333
tt0112573,110,197
tt0075314,111,103
tt0113326,112,33542
tt0115645,113,43566
tt0112373,116,51352
tt0115033,117,16934
tt0116606,118,10324
tt0114536,119,78406
tt0106473,121,32119
tt0103859,122,11066
tt0109424,123,11104
tt0116324,125,2074
tt0110647,126,27793
tt0110217,128,290157
tt0114131,129,110972
tt0113451,132,11863
tt0116130,135,9101
tt0113756,137,5757
tt0118055,140,9302
tt0115685,141,11000
tt0112585,144,16388
tt0112442,145,9737
tt0112342,146,30765
tt0112461,147,10474
tt0112427,148,22279
tt0109093,149,30157
tt0112384,150,568
tt0114287,151,11780
tt0112288,152,34996
tt0112462,153,414
tt0061395,154,649
tt0112495,155,1873
tt0112541,156,5894
tt0109370,157,1775
tt0112642,158,8839
tt0112688,159,20649
tt0112715,160,10329
tt0112740,161,8963
tt0109508,162,26564
tt0112851,163,8068
tt0112857,164,8512
tt0112864,165,1572
tt0112887,166,13552
tt0113071,168,6520
tt0113114,169,9073
tt0113243,170,10428
tt0113464,171,17447
tt0113481,172,9886
tt0113492,173,9482
tt0113500,174,19326
tt0113540,175,9344
tt0113677,176,9071
tt0113690,177,8973
tt0107447,178,15730
tt0113729,179,47608
tt0113749,180,2293
tt0113820,181,9070
tt0110604,183,48787
tt0110620,184,34574
tt0113957,185,1642
tt0113986,186,11472
tt0114095,187,36196
tt0114194,188,11980
tt0114241,189,58372
tt0114323,190,32646
tt0114345,191,10533
tt0114436,193,10802
tt0114478,194,10149
tt0114496,195,18402
tt0114508,196,9348
tt0114558,198,281
tt0058450,199,5967
tt0114663,201,47939
tt0114702,202,36834
tt0114682,203,9090
tt0114781,204,3512
tt0114798,205,52856
tt0114805,206,77350
tt0114887,207,9560
tt0114898,208,9804
tt0114928,209,31611
tt0114938,210,65796
tt0109340,211,49805
tt0112602,212,26258
tt0111579,213,50797
tt0110882,214,19155
tt0112471,215,76
tt0112508,216,11017
tt0112438,217,37141
tt0112571,218,9382
tt0112757,219,6715
tt0112643,220,18256
tt0112679,222,22625
tt0109445,223,2292
tt0112883,224,1909
