,genre,movieID,title
0,Adventure,1,Toy Story (1995)
1,Animation,1,Toy Story (1995)
2,Children,1,Toy Story (1995)
3,Comedy,1,Toy Story (1995)
4,Fantasy,1,Toy Story (1995)
5,Adventure,2,Jumanji (1995)
6,Children,2,Jumanji (1995)
7,Fantasy,2,Jumanji (1995)
8,Comedy,3,Grumpier Old Men (1995)
9,Romance,3,Grumpier Old Men (1995)
10,Comedy,4,Waiting to Exhale (1995)
11,Drama,4,Waiting to Exhale (1995)
12,Romance,4,Waiting to Exhale (1995)
13,Comedy,5,Father of the Bride Part II (1995)
14,Action,6,Heat (1995)
15,Crime,6,Heat (1995)
16,Thriller,6,Heat (1995)
17,Comedy,7,Sabrina (1995)
18,Romance,7,Sabrina (1995)
19,Adventure,8,Tom and Huck (1995)
20,Children,8,Tom and Huck (1995)
21,Action,9,Sudden Death (1995)
22,Action,10,GoldenEye (1995)
23,Adventure,10,GoldenEye (1995)
24,Thriller,10,GoldenEye (1995)
25,Comedy,11,"American President, The (1995)"
26,Drama,11,"American President, The (1995)"
27,Romance,11,"American President, The (1995)"
28,Comedy,12,Dracula: Dead and Loving It (1995)
29,Horror,12,Dracula: Dead and Loving It (1995)
30,Adventure,13,Balto (1995)
31,Animation,13,Balto (1995)
32,Children,13,Balto (1995)
33,Drama,14,Nixon (1995)
34,Action,15,Cutthroat Island (1995)
35,Adventure,15,Cutthroat Island (1995)
36,Romance,15,Cutthroat Island (1995)
37,Crime,16,Casino (1995)
38,Drama,16,Casino (1995)
39,Drama,17,Sense and Sensibility (1995)
40,Romance,17,Sense and Sensibility (1995)
41,Comedy,18,Four Rooms (1995)
42,Comedy,19,Ace Ventura: When Nature Calls (1995)
43,Action,20,Money Train (1995)
44,Comedy,20,Money Train (1995)
45,Crime,20,Money Train (1995)
46,Drama,20,Money Train (1995)
47,Thriller,20,Money Train (1995)
48,Comedy,21,Get Shorty (1995)
49,Crime,21,Get Shorty (1995)
50,Thriller,21,Get Shorty (1995)
51,Crime,22,Copycat (1995)
52,Drama,22,Copycat (1995)
53,Horror,22,Copycat (1995)
54,Mystery,22,Copycat (1995)
55,Thriller,22,Copycat (1995)
56,Action,23,Assassins (1995)
57,Crime,23,Assassins (1995)
58,Thriller,23,Assassins (1995)
59,Drama,24,Powder (1995)
60,SciFi,24,Powder (1995)
61,Drama,25,Leaving Las Vegas (1995)
62,Romance,25,Leaving Las Vegas (1995)
63,Drama,26,Othello (1995)
64,Children,27,Now and Then (1995)
65,Drama,27,Now and Then (1995)
