id,keyword,movieID,title
0,Toy,1,Toy Story (1995)
1,Story,1,Toy Story (1995)
2,1995,1,Toy Story (1995)
3,Toy Story,1,Toy Story (1995)
4,Jumanji,2,Jumanji (1995)
5,1995,2,Jumanji (1995)
6,Grumpier,3,Grumpier Old Men (1995)
7,Old,3,Grumpier Old Men (1995)
8,Men,3,Grumpier Old Men (1995)
9,1995,3,Grumpier Old Men (1995)
10,Old Men,3,Grumpier Old Men (1995)
11,Waiting,4,Waiting to Exhale (1995)
12,to,4,Waiting to Exhale (1995)
13,Exhale,4,Waiting to Exhale (1995)
14,1995,4,Waiting to Exhale (1995)
15,Father,5,Father of the Bride Part II (1995)
16,of,5,Father of the Bride Part II (1995)
17,the,5,Father of the Bride Part II (1995)
18,Bride,5,Father of the Bride Part II (1995)
19,Part,5,Father of the Bride Part II (1995)
20,II,5,Father of the Bride Part II (1995)
21,1995,5,Father of the Bride Part II (1995)
22,Father of the Bride Part,5,Father of the Bride Part II (1995)
23,Heat,6,Heat (1995)
24,1995,6,Heat (1995)
25,Sabrina,7,Sabrina (1995)
26,1995,7,Sabrina (1995)
27,Tom,8,Tom and Huck (1995)
28,and,8,Tom and Huck (1995)
29,Huck,8,Tom and Huck (1995)
30,1995,8,Tom and Huck (1995)
31,Sudden,9,Sudden Death (1995)
32,Death,9,Sudden Death (1995)
33,1995,9,Sudden Death (1995)
34,Sudden Death,9,Sudden Death (1995)
35,GoldenEye,10,GoldenEye (1995)
36,1995,10,GoldenEye (1995)
37,American,11,"American President, The (1995)"
38,President,11,"American President, The (1995)"
39,The,11,"American President, The (1995)"
40,1995,11,"American President, The (1995)"
41,American President,11,"American President, The (1995)"
42,Dracula,12,Dracula: Dead and Loving It (1995)
43,Dead,12,Dracula: Dead and Loving It (1995)
44,and,12,Dracula: Dead and Loving It (1995)
45,Loving,12,Dracula: Dead and Loving It (1995)
46,It,12,Dracula: Dead and Loving It (1995)
47,1995,12,Dracula: Dead and Loving It (1995)
48,Balto,13,Balto (1995)
49,1995,13,Balto (1995)
50,Nixon,14,Nixon (1995)
51,1995,14,Nixon (1995)
52,Cutthroat,15,Cutthroat Island (1995)
53,Island,15,Cutthroat Island (1995)
54,1995,15,Cutthroat Island (1995)
55,Cutthroat Island,15,Cutthroat Island (1995)
56,Casino,16,Casino (1995)
57,1995,16,Casino (1995)
58,Sense,17,Sense and Sensibility (1995)
59,and,17,Sense and Sensibility (1995)
60,Sensibility,17,Sense and Sensibility (1995)
61,1995,17,Sense and Sensibility (1995)
62,Four,18,Four Rooms (1995)
63,Rooms,18,Four Rooms (1995)
64,1995,18,Four Rooms (1995)
65,Ace,19,Ace Ventura: When Nature Calls (1995)
66,Ventura,19,Ace Ventura: When Nature Calls (1995)
67,When,19,Ace Ventura: When Nature Calls (1995)
68,Nature,19,Ace Ventura: When Nature Calls (1995)
69,Calls,19,Ace Ventura: When Nature Calls (1995)
70,1995,19,Ace Ventura: When Nature Calls (1995)
71,Ace Ventura,19,Ace Ventura: When Nature Calls (1995)
72,Nature Calls,19,Ace Ventura: When Nature Calls (1995)
73,Money,20,Money Train (1995)
74,Train,20,Money Train (1995)
75,1995,20,Money Train (1995)
76,Money Train,20,Money Train (1995)
77,Get,21,Get Shorty (1995)
78,Shorty,21,Get Shorty (1995)
79,1995,21,Get Shorty (1995)
80,Copycat,22,Copycat (1995)
81,1995,22,Copycat (1995)
82,Assassins,23,Assassins (1995)
83,1995,23,Assassins (1995)
84,Powder,24,Powder (1995)
85,1995,24,Powder (1995)
86,Leaving,25,Leaving Las Vegas (1995)
87,Las,25,Leaving Las Vegas (1995)
88,Vegas,25,Leaving Las Vegas (1995)
89,1995,25,Leaving Las Vegas (1995)
90,Las Vegas,25,Leaving Las Vegas (1995)
91,Othello,26,Othello (1995)
92,1995,26,Othello (1995)
93,Now,27,Now and Then (1995)
94,and,27,Now and Then (1995)
95,Then,27,Now and Then (1995)
96,1995,27,Now and Then (1995)
97,Persuasion,28,Persuasion (1995)
98,1995,28,Persuasion (1995)
99,City,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)"
100,of,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)"
101,Lost,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)"
102,Children,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)"
103,The,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)"
104,Cité,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)"
105,des,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)"
106,enfants,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)"
107,perdus,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)"
108,La,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)"
109,1995,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)"
110,Cité des enfants perdus,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)"
111,Shanghai,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
112,Triad,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
113,Yao,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
114,a,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
115,yao,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
116,yao,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
