budget,id,original_language,original_title,popularity,release_date,revenue,runtime,tagline,title,vote_average,vote_count
237000000,19995,en,Avatar,150.437577,12/10/09,2787965087,162,Enter the World of Pandora.,Avatar,7.2,11800
300000000,285,en,Pirates of the Caribbean: At World's End,139.082615,5/19/07,961000000,169,"At the end of the world, the adventure begins.",Pirates of the Caribbean: At World's End,6.9,4500
245000000,206647,en,Spectre,107.376788,10/26/15,880674609,148,A Plan No One Escapes,Spectre,6.3,4466
250000000,49026,en,The Dark Knight Rises,112.31295,7/16/12,1084939099,165,The Legend Ends,The Dark Knight Rises,7.6,9106
260000000,49529,en,John Carter,43.926995,3/7/12,284139100,132,"Lost in our world, found in another.",John Carter,6.1,2124
258000000,559,en,Spider-Man 3,115.699814,5/1/07,890871626,139,The battle within.,Spider-Man 3,5.9,3576
260000000,38757,en,Tangled,48.681969,11/24/10,591794936,100,They're taking adventure to new lengths.,Tangled,7.4,3330
280000000,99861,en,Avengers: Age of Ultron,134.279229,4/22/15,1405403694,141,A New Age Has Come.,Avengers: Age of Ultron,7.3,6767
250000000,767,en,Harry Potter and the Half-Blood Prince,98.885637,7/7/09,933959197,153,Dark Secrets Revealed,Harry Potter and the Half-Blood Prince,7.4,5293
250000000,209112,en,Batman v Superman: Dawn of Justice,155.790452,3/23/16,873260194,151,Justice or revenge,Batman v Superman: Dawn of Justice,5.7,7004
270000000,1452,en,Superman Returns,57.925623,6/28/06,391081192,154,,Superman Returns,5.4,1400
200000000,10764,en,Quantum of Solace,107.928811,10/30/08,586090727,106,"For love, for hate, for justice, for revenge.",Quantum of Solace,6.1,2965
200000000,58,en,Pirates of the Caribbean: Dead Man's Chest,145.847379,6/20/06,1065659812,151,Jack is back!,Pirates of the Caribbean: Dead Man's Chest,7,5246
255000000,57201,en,The Lone Ranger,49.046956,7/3/13,89289910,149,Never Take Off the Mask,The Lone Ranger,5.9,2311
225000000,49521,en,Man of Steel,99.398009,6/12/13,662845518,143,You will believe that a man can fly.,Man of Steel,6.5,6359
225000000,2454,en,The Chronicles of Narnia: Prince Caspian,53.978602,5/15/08,419651413,150,Hope has a new face.,The Chronicles of Narnia: Prince Caspian,6.3,1630
220000000,24428,en,The Avengers,144.448633,4/25/12,1519557910,143,Some assembly required.,The Avengers,7.4,11776
380000000,1865,en,Pirates of the Caribbean: On Stranger Tides,135.413856,5/14/11,1045713802,136,Live Forever Or Die Trying.,Pirates of the Caribbean: On Stranger Tides,6.4,4948
225000000,41154,en,Men in Black 3,52.035179,5/23/12,624026776,106,They are back... in time.,Men in Black 3,6.2,4160
250000000,122917,en,The Hobbit: The Battle of the Five Armies,120.965743,12/10/14,956019788,144,Witness the defining chapter of the Middle-Earth saga,The Hobbit: The Battle of the Five Armies,7.1,4760
215000000,1930,en,The Amazing Spider-Man,89.866276,6/27/12,752215857,136,The untold story begins.,The Amazing Spider-Man,6.5,6586
200000000,20662,en,Robin Hood,37.668301,5/12/10,310669540,140,"Rise and rise again, until lambs become lions.",Robin Hood,6.2,1398
250000000,57158,en,The Hobbit: The Desolation of Smaug,94.370564,12/11/13,958400000,161,Beyond darkness... beyond desolation... lies the greatest danger of all.,The Hobbit: The Desolation of Smaug,7.6,4524
180000000,2268,en,The Golden Compass,42.990906,12/4/07,372234864,113,There are worlds beyond our own - the compass will show the way.,The Golden Compass,5.8,1303
207000000,254,en,King Kong,61.22601,12/14/05,550000000,187,The eighth wonder of the world.,King Kong,6.6,2337
200000000,597,en,Titanic,100.025899,11/18/97,1845034188,194,Nothing on Earth could come between them.,Titanic,7.5,7562
250000000,271110,en,Captain America: Civil War,198.372395,4/27/16,1153304495,147,Divided We Fall,Captain America: Civil War,7.1,7241
209000000,44833,en,Battleship,64.928382,4/11/12,303025485,131,The Battle for Earth Begins at Sea,Battleship,5.5,2114
150000000,135397,en,Jurassic World,418.708552,6/9/15,1513528810,124,The park is open.,Jurassic World,6.5,8662
200000000,37724,en,Skyfall,93.004993,10/25/12,1108561013,143,Think on your sins.,Skyfall,6.9,7604
200000000,558,en,Spider-Man 2,35.149586,6/25/04,783766341,127,There's a hero in all of us.,Spider-Man 2,6.7,4321
200000000,68721,en,Iron Man 3,77.68208,4/18/13,1215439994,130,Unleash the power behind the armor.,Iron Man 3,6.8,8806
200000000,12155,en,Alice in Wonderland,78.530105,3/3/10,1025491110,108,You're invited to a very important date.,Alice in Wonderland,6.4,4645
210000000,36668,en,X-Men: The Last Stand,3.857526,5/24/06,459359555,104,Take a Stand,X-Men: The Last Stand,6.3,3525
200000000,62211,en,Monsters University,89.186492,6/20/13,743559607,104,School never looked this scary.,Monsters University,7,3528
150000000,8373,en,Transformers: Revenge of the Fallen,21.939663,6/19/09,836297228,150,Revenge is coming.,Transformers: Revenge of the Fallen,6,3138
210000000,91314,en,Transformers: Age of Extinction,116.840296,6/25/14,1091405097,165,This is not war. It's extinction.,Transformers: Age of Extinction,5.8,3095
200000000,68728,en,Oz: The Great and Powerful,46.985445,3/7/13,491868548,130,"In Oz, nothing is what it seems",Oz: The Great and Powerful,5.7,3530
200000000,102382,en,The Amazing Spider-Man 2,89.270217,4/16/14,705717432,142,No more secrets.,The Amazing Spider-Man 2,6.5,4179
170000000,20526,en,TRON: Legacy,73.79505,12/10/10,400062763,125,The Game Has Changed.,TRON: Legacy,6.3,2841
200000000,49013,en,Cars 2,49.98659,6/11/11,559852396,106,Ka-ciao!,Cars 2,5.8,2033
200000000,44912,en,Green Lantern,51.872839,6/16/11,219851172,114,"In our darkest hour, there will be light.",Green Lantern,5.1,2487
200000000,10193,en,Toy Story 3,59.995418,6/16/10,1066969703,103,No toy gets left behind.,Toy Story 3,7.6,4597
200000000,534,en,Terminator Salvation,71.862892,5/20/09,371353001,115,The End Begins.,Terminator Salvation,5.9,2463
190000000,168259,en,Furious 7,102.322217,4/1/15,1506249360,137,Vengeance Hits Home,Furious 7,7.3,4176
200000000,72190,en,World War Z,81.834855,6/20/13,531865000,116,Remember Philly!,World War Z,6.7,5560
