,genre,movieID,title
0,Action,19995,Avatar
1,Adventure,19995,Avatar
2,Fantasy,19995,Avatar
3,SciFi,19995,Avatar
4,Adventure,285,Pirates of the Caribbean: At World's End
5,Fantasy,285,Pirates of the Caribbean: At World's End
6,Action,285,Pirates of the Caribbean: At World's End
7,Action,206647,Spectre
8,Adventure,206647,Spectre
9,Crime,206647,Spectre
10,Action,49026,The Dark Knight Rises
11,Crime,49026,The Dark Knight Rises
12,Drama,49026,The Dark Knight Rises
13,Thriller,49026,The Dark Knight Rises
14,Action,49529,John Carter
15,Adventure,49529,John Carter
16,SciFi,49529,John Carter
17,Fantasy,559,Spider-Man 3
18,Action,559,Spider-Man 3
19,Adventure,559,Spider-Man 3
20,Animation,38757,Tangled
21,Family,38757,Tangled
22,Action,99861,Avengers: Age of Ultron
23,Adventure,99861,Avengers: Age of Ultron
24,SciFi,99861,Avengers: Age of Ultron
25,Adventure,767,Harry Potter and the Half-Blood Prince
26,Fantasy,767,Harry Potter and the Half-Blood Prince
27,Family,767,Harry Potter and the Half-Blood Prince
28,Action,209112,Batman v Superman: Dawn of Justice
29,Adventure,209112,Batman v Superman: Dawn of Justice
30,Fantasy,209112,Batman v Superman: Dawn of Justice
31,Adventure,1452,Superman Returns
32,Fantasy,1452,Superman Returns
33,Action,1452,Superman Returns
34,SciFi,1452,Superman Returns
35,Adventure,10764,Quantum of Solace
36,Action,10764,Quantum of Solace
37,Thriller,10764,Quantum of Solace
38,Crime,10764,Quantum of Solace
39,Adventure,58,Pirates of the Caribbean: Dead Man's Chest
40,Fantasy,58,Pirates of the Caribbean: Dead Man's Chest
41,Action,58,Pirates of the Caribbean: Dead Man's Chest
42,Action,57201,The Lone Ranger
43,Adventure,57201,The Lone Ranger
44,Western,57201,The Lone Ranger
45,Action,49521,Man of Steel
46,Adventure,49521,Man of Steel
47,Fantasy,49521,Man of Steel
48,SciFi,49521,Man of Steel
49,Adventure,2454,The Chronicles of Narnia: Prince Caspian
50,Family,2454,The Chronicles of Narnia: Prince Caspian
51,Fantasy,2454,The Chronicles of Narnia: Prince Caspian
52,SciFi,24428,The Avengers
53,Action,24428,The Avengers
54,Adventure,24428,The Avengers
55,Adventure,1865,Pirates of the Caribbean: On Stranger Tides
56,Action,1865,Pirates of the Caribbean: On Stranger Tides
57,Fantasy,1865,Pirates of the Caribbean: On Stranger Tides
58,Action,41154,Men in Black 3
59,Comedy,41154,Men in Black 3
60,SciFi,41154,Men in Black 3
61,Action,122917,The Hobbit: The Battle of the Five Armies
62,Adventure,122917,The Hobbit: The Battle of the Five Armies
63,Fantasy,122917,The Hobbit: The Battle of the Five Armies
64,Action,1930,The Amazing Spider-Man
65,Adventure,1930,The Amazing Spider-Man
66,Fantasy,1930,The Amazing Spider-Man
67,Action,20662,Robin Hood
68,Adventure,20662,Robin Hood
69,Adventure,57158,The Hobbit: The Desolation of Smaug
70,Fantasy,57158,The Hobbit: The Desolation of Smaug
71,Adventure,2268,The Golden Compass
72,Fantasy,2268,The Golden Compass
73,Adventure,254,King Kong
74,Drama,254,King Kong
75,Action,254,King Kong
76,Drama,597,Titanic
77,Romance,597,Titanic
78,Thriller,597,Titanic
79,Adventure,271110,Captain America: Civil War
80,Action,271110,Captain America: Civil War
81,SciFi,271110,Captain America: Civil War
82,Thriller,44833,Battleship
83,Action,44833,Battleship
84,Adventure,44833,Battleship
85,SciFi,44833,Battleship
86,Action,135397,Jurassic World
87,Adventure,135397,Jurassic World
88,SciFi,135397,Jurassic World
89,Thriller,135397,Jurassic World
90,Action,37724,Skyfall
91,Adventure,37724,Skyfall
92,Thriller,37724,Skyfall
93,Action,558,Spider-Man 2
94,Adventure,558,Spider-Man 2
95,Fantasy,558,Spider-Man 2
96,Action,68721,Iron Man 3
97,Adventure,68721,Iron Man 3
98,SciFi,68721,Iron Man 3
99,Family,12155,Alice in Wonderland
100,Fantasy,12155,Alice in Wonderland
101,Adventure,12155,Alice in Wonderland
102,Adventure,36668,X-Men: The Last Stand
103,Action,36668,X-Men: The Last Stand
104,SciFi,36668,X-Men: The Last Stand
105,Thriller,36668,X-Men: The Last Stand
