,keyword,movieID,title
0,culture clash,19995,Avatar
1,future,19995,Avatar
2,space war,19995,Avatar
3,space colony,19995,Avatar
4,society,19995,Avatar
5,space travel,19995,Avatar
6,futuristic,19995,Avatar
7,romance,19995,Avatar
8,space,19995,Avatar
9,alien,19995,Avatar
10,tribe,19995,Avatar
11,alien planet,19995,Avatar
12,cgi,19995,Avatar
13,marine,19995,Avatar
14,soldier,19995,Avatar
15,battle,19995,Avatar
16,love affair,19995,Avatar
17,anti war,19995,Avatar
18,power relations,19995,Avatar
19,mind and soul,19995,Avatar
20,3d,19995,Avatar
21,ocean,285,Pirates of the Caribbean: At World's End
22,drug abuse,285,Pirates of the Caribbean: At World's End
23,exotic island,285,Pirates of the Caribbean: At World's End
24,east india trading company,285,Pirates of the Caribbean: At World's End
25,love of one's life,285,Pirates of the Caribbean: At World's End
26,traitor,285,Pirates of the Caribbean: At World's End
27,shipwreck,285,Pirates of the Caribbean: At World's End
28,strong woman,285,Pirates of the Caribbean: At World's End
29,ship,285,Pirates of the Caribbean: At World's End
30,alliance,285,Pirates of the Caribbean: At World's End
31,calypso,285,Pirates of the Caribbean: At World's End
32,afterlife,285,Pirates of the Caribbean: At World's End
33,fighter,285,Pirates of the Caribbean: At World's End
34,pirate,285,Pirates of the Caribbean: At World's End
35,swashbuckler,285,Pirates of the Caribbean: At World's End
36,aftercreditsstinger,285,Pirates of the Caribbean: At World's End
37,spy,206647,Spectre
38,based on novel,206647,Spectre
39,secret agent,206647,Spectre
40,sequel,206647,Spectre
41,mi6,206647,Spectre
42,british secret service,206647,Spectre
43,united kingdom,206647,Spectre
44,dc comics,49026,The Dark Knight Rises
45,crime fighter,49026,The Dark Knight Rises
46,terrorist,49026,The Dark Knight Rises
47,secret identity,49026,The Dark Knight Rises
48,burglar,49026,The Dark Knight Rises
49,hostage drama,49026,The Dark Knight Rises
50,time bomb,49026,The Dark Knight Rises
51,gotham city,49026,The Dark Knight Rises
52,vigilante,49026,The Dark Knight Rises
53,cover-up,49026,The Dark Knight Rises
54,superhero,49026,The Dark Knight Rises
55,villainess,49026,The Dark Knight Rises
56,tragic hero,49026,The Dark Knight Rises
57,terrorism,49026,The Dark Knight Rises
58,destruction,49026,The Dark Knight Rises
59,catwoman,49026,The Dark Knight Rises
60,cat burglar,49026,The Dark Knight Rises
61,imax,49026,The Dark Knight Rises
62,flood,49026,The Dark Knight Rises
63,criminal underworld,49026,The Dark Knight Rises
64,batman,49026,The Dark Knight Rises
65,based on novel,49529,John Carter
66,mars,49529,John Carter
67,medallion,49529,John Carter
68,space travel,49529,John Carter
69,princess,49529,John Carter
70,alien,49529,John Carter
71,steampunk,49529,John Carter
72,martian,49529,John Carter
73,escape,49529,John Carter
74,edgar rice burroughs,49529,John Carter
75,alien race,49529,John Carter
76,superhuman strength,49529,John Carter
77,mars civilization,49529,John Carter
78,sword and planet,49529,John Carter
79,19th century,49529,John Carter
80,3d,49529,John Carter
81,dual identity,559,Spider-Man 3
82,amnesia,559,Spider-Man 3
83,sandstorm,559,Spider-Man 3
